Type,stop_id,stop_name,stop_lat,stop_lon
Regional Bus,22698,Laidlaw St/Sunraysia Hwy (Learmonth),-37.420638734,143.714078541
Regional Bus,22699,Hall St/Sunraysia Hwy (Waubra),-37.358308199,143.638174612
Regional Bus,22700,Hall St/Sunraysia Hwy (Waubra),-37.357651675,143.637583147
Regional Bus,22703,Quire Rd/Buchan Rd (Buchan South),-37.544866223,148.124491005
Regional Bus,22704,Quire Rd/Buchan South Rd (Buchan South),-37.546129994,148.125234463
Regional Bus,22706,Buchan - Orbost Rd/Buchan Rd (Buchan),-37.498723203,148.172239607
Regional Bus,22707,Gormandale - Stradbroke Rd/Hyland Hwy (Gormandale),-38.294343721,146.701585008
Regional Bus,22854,Baringhup Caravan Park/Baringhup Rd (Baringhup),-36.979464877,143.974739831
Regional Bus,22855,Tulloch Ard Rd/Gelantipy Rd (Gelantipy),-37.227422855,148.263184251
Regional Bus,22856,W Tree Co-op/Gelantipy Rd (W Tree),-37.358325527,148.225380717
Regional Bus,22857,Lake Bunga Beach Rd/Princes Hwy (Lake Bunga),-37.860855524,148.028259983
Regional Bus,22859,Carinya Lodge/Carinya Cres (Korumburra),-38.437994041,145.811524789
Regional Bus,22860,IGA Supermarket/1 South Railway Cres (Korumburra),-38.433733174,145.825996250
Regional Bus,22863,Nalder Dr/Werrill St (Swan Hill),-35.359955023,143.557858640
Regional Bus,22871,Tobin St/Montgomery St (Ararat),-37.294225505,142.920300834
Regional Bus,22872,Port Fairy Rd/Montgomery St (Ararat),-37.294525281,142.924027919
Regional Bus,22875,Vanstan St/High St St (Ararat),-37.285666630,142.917652185
Regional Bus,22876,Brewster Rd/High St (Ararat),-37.286108007,142.915305915
Regional Bus,22878,Mackay St/Henderson St (Ararat),-37.281895144,142.915387442
Regional Bus,22886,Mudgegonga Primary School/Myrtleford - Yackandandah Rd (Mudgegonga),-36.489953409,146.837171932
Regional Bus,22931,Ballan Police Station/Old Melbourne Rd (Ballan),-37.600210925,144.220571590
Regional Bus,22932,Ballan Police Station/Old Melbourne Rd (Ballan),-37.600058677,144.220611234
Regional Bus,22933,Stone Hut Lane/Ballan-Daylesford Rd (Bunding),-37.554631668,144.187383751
Regional Bus,22934,Spargo Creek Rd/Ballan-Daylesford Rd (Spargo Creek),-37.479788238,144.150574506
Regional Bus,22935,Back Settlement Rd/Ballan-Daylesford Rd (Korweinguboora),-37.445123027,144.128598332
Regional Bus,22936,Leonards Hill Hall/Ballan-Daylesford Rd (Leonards Hill),-37.419550945,144.116414086
Regional Bus,22937,2349 Ballan-Daylesford Rd (Sailors Falls),-37.396313649,144.122760372
Regional Bus,22938,Ridge Rd/Ballan - Daylesford Rd (Musk Vale),-37.378286993,144.127740477
Regional Bus,22939,Fifth St/Hepburn Springs Rd (Hepburn Springs),-37.318365482,144.138553653
Regional Bus,22940,Mineral Springs Cres/Main Rd (Hepburn),-37.310099112,144.138415973
Regional Bus,22941,Gordon Cemetery/Old Melbourne Rd (Gordon),-37.585062396,144.113229315
Regional Bus,22942,Gordon Cemetery/Old Melbourne Rd (Gordon),-37.584919470,144.113280129
Regional Bus,22945,Millbrook-Egerton Rd/Gordon-Egerton Rd (Mount Egerton),-37.600929867,144.103669028
Regional Bus,22948,Mt Egerton General Store/Main Rd (Mount Egerton),-37.627042490,144.104773730
Regional Bus,22949,Oasis Village/Cobram - Koonoomoo Rd (Cobram),-35.916457351,145.635858847
Regional Bus,22952,McNamara Dr/Calder Hwy (Maiden Gully),-36.742769646,144.209039044
Regional Bus,22963,Blacks Lane/Hopkins Hwy (Purnim),-38.279656360,142.620808985
Regional Bus,22964,Tomlinsons Lane/Hopkins Hwy (Ballangeich),-38.220722110,142.657675297
Regional Bus,22965,Ellerslie - Panmure Rd/Hopkins Hwy (Ellerslie),-38.149350641,142.685127807
Regional Bus,22976,Bendigo Bank/Maurice Ave (Mallacoota),-37.557576922,149.757706733
Regional Bus,22977,Township/Gipsy Point Rd (Gipsy Point),-37.480484379,149.679223575
Regional Bus,22978,McMillan St/George St (Hamilton),-37.744009620,142.034726022
Regional Bus,22980,RMIT Hamilton/200 Ballarat Rd (Hamilton),-37.743747265,142.058636578
Regional Bus,22981,Hamilton Base Hospital/Foster St (Hamilton),-37.737200725,142.029580616
Regional Bus,22982,Lonsdale St/McIntyre St (Hamilton),-37.744572756,142.017599151
Regional Bus,22983,McPhee St/Kenny St (Hamilton),-37.735654774,142.007755676
Regional Bus,22984,South West TAFE/Hammond St (Hamilton),-37.726859193,142.006318317
Regional Bus,22986,Kent Rd/Gordon St (Hamilton),-37.728152975,142.019201053
Regional Bus,22988,Garton St/Learmonth St (Hamilton),-37.737312161,142.028382579
Regional Bus,22989,Monegeetta Milk Bar/Melbourne-Lancefield Rd (Monegeetta),-37.413955365,144.749290141
Regional Bus,22994,Chemist/Federal St (Rainbow),-35.898088257,141.993916787
Regional Bus,22995,Woods St/Byrne St (Yaapeet),-35.769791611,142.053019209
Regional Bus,22996,Roy St/Dimboola - Rainbow Rd (Jeparit),-36.142373177,141.988316684
Regional Bus,22997,Tarranyurk West Rd/Dimboola - Rainbow Rd (Tarranyurk),-36.208948325,142.034212724
